##;##
idx;x;y;slope;intercept;slopeStdErr;interceptStdErr;yPredicted
0;0.0;-3.5;NaN;NaN;NaN;NaN;0
1;1.0;0.4469174960056215;3.9469174960056215;-3.5;NaN;NaN;0
2;2.0;4.484942018512418;3.9924710092562083;-3.5151845044168617;0.02630033313781091;0.03395358408081624;0
3;3.0;7.671908637687505;3.7553750435569304;-3.3571205272840094;0.13739180162922432;0.2570365247240836;0
4;4.0;9.767371019983965;3.3759733181649816;-2.977718801892061;0.23296793512220412;0.5706525674792159;0
5;5.0;12.770243704977663;3.2142727347428126;-2.762118023995836;0.17881835421793352;0.5413994534670571;0
6;6.0;14.649423901196094;3.01347689725014;-2.4274582948413825;0.17154491546161665;0.6185139887419941;0
7;7.0;21.272416641009322;3.2306049518417836;-2.8617144040246707;0.179063013854502;0.7490743296138959;0
8;8.0;26.20135190287053;3.445153397985846;-3.362327445027483;0.1859618679712011;0.885355580369645;0
9;9.0;26.414603628922983;3.3780925157355464;-3.1834984256933496;0.15331557120470113;0.8184811755037362;0
